127.0.0.1 - - [22/Mar/2024:10:24:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 31826
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro%20max.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%2013.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/14%20plus.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/images/banner3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/images/banner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /OnlineMobileShoppingSystem/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:19 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 18126
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:19 +0530] "GET /OnlineMobileShoppingSystem/css/login.css HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:19 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:24:19 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:25:02 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 20329
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:25:02 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:25:02 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:31 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 18119
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:31 +0530] "GET /OnlineMobileShoppingSystem/css/login.css HTTP/1.1" 200 2208
